,long,lat,Area,Began,Ended,Soil,hourly_precip_mean,hourly_precip_std,hourly_runoff_mean,hourly_runoff_std,Real?,sand,silt,clay
1388,12.10885,9.301664,96830.55308,2011-08-26,9/26/2012,50.0,0.0004368314403109,0.0015040292637422,0.0001469819253543,0.0008100992417894,False,0.91,0.03,0.06
1389,32.726004,2.656467,57981.45109,2011-08-21,9/7/2012,25.0,0.0001477332261856,0.0004612049087882,5.4326243116520345e-05,0.0002464042336214,False,0.16,0.08,0.76
1390,35.829521,1.366374,18459.6553,2011-08-16,9/7/2012,40.0,0.0004530559526756,0.001794300507754,0.0002372323797317,0.0015727642457932,False,0.8,0.15,0.05
1391,-16.151491,13.409272,4747.32903,2011-09-03,9/7/2012,58.0,0.0001300776202697,0.0004873611615039,9.915584087138996e-06,6.139288598205894e-05,False,0.16,0.39,0.45
1392,76.85692,31.306274,37710.76145,2011-09-17,9/18/2012,8.0,0.0004675787640735,0.0008535888628102,0.0001387649826938,0.0002403197722742,False,0.102,0.447,0.451
1393,68.775576,28.044522,23036.10952,2011-09-11,10/29/2012,98.0,0.0001050041755661,0.000399764656322,3.5677164760272717e-06,4.9996222514892e-05,False,0.76,0.09,0.15
1394,99.640458,17.090901,44011.29537,2011-09-13,9/26/2012,1.0,0.0008977922843769,0.0011733066057786,0.0006171007989905,0.0009011369547806,False,0.886,0.07,0.044
1395,29.585968,9.569418,138743.899,2011-09-08,10/3/2012,87.0,0.0002891715266741,0.0007365273777395,1.3796367966278922e-05,0.0001099762157537,False,0.231,0.407,0.362
1396,44.896686,4.944556,13753.98898,2011-09-23,10/3/2012,74.0,8.38935375213623e-06,7.571075548185036e-05,2.9329269679578832e-08,2.922669750660134e-07,False,0.068,0.708,0.224
1397,2.956491,14.315988,121035.6525,2011-09-16,10/15/2012,73.0,6.487005157396197e-05,0.0002798492787405,3.819112350811338e-07,5.575916475208942e-06,False,0.779,0.151,0.07
1398,20.506625,11.078585,86061.68118,2011-09-16,10/15/2012,87.0,0.0003164030204061,0.0007919703493826,2.656561446201522e-05,0.0001684164308244,False,0.231,0.407,0.362
1399,28.709678,39.509315,15306.6717,2011-12-03,12/4/2012,53.0,1.492008294690095e-07,1.486157088947948e-06,8.158267519320361e-07,8.828235422697617e-07,False,0.061,0.867,0.072
1400,-59.625194,-27.5025,377212.5458,2011-11-21,12/4/2012,45.0,0.0006153779686428,0.0013329087523743,4.4850745325675234e-05,0.000217909051571,False,0.528,0.289,0.183
1401,121.883077,-3.867021,67600.20177,2012-01-04,1/10/2013,4.0,0.0004638437821995,0.0009123339550569,0.0001646807795623,0.0005562169826589,False,0.478,0.466,0.056
1402,125.30844,7.256988,51781.98437,2012-01-05,1/10/2013,4.0,0.0006633488228544,0.0010877681197598,0.0001649275363888,0.0004772984830196,False,0.478,0.466,0.056
1403,-76.457258,-9.282979,318648.9463,2012-01-05,1/10/2013,40.0,0.0003515146090649,0.0007582957041449,0.0001951547892531,0.0004104670952074,False,0.8,0.15,0.05
1404,36.450233,32.839777,29142.9287,2012-01-09,1/10/2013,40.0,9.923842299031094e-05,0.0003538597957231,4.152884685026947e-06,2.1277433916111477e-05,False,0.8,0.15,0.05
1405,106.729879,-6.179453,1746.34032,2012-01-14,1/22/2013,,0.0004608569433912,0.0005542684812098,0.0001520160149084,0.0002200365124735,False,,,
1406,36.51717,0.058024,71113.04818,2012-01-14,1/17/2013,76.0,2.6178515327046625e-05,0.0002104352315654,1.047062050929526e-05,2.9474080292857252e-05,False,0.74,0.16,0.1
1407,32.67733,-24.800608,83155.20769,2012-01-18,3/4/2013,71.0,0.0011632777750492,0.0019800318405032,0.000113337613584,0.0005904044955968,False,0.91,0.025,0.065
1408,25.064564,-20.376563,198590.4775,2012-01-16,2/1/2013,71.0,0.0002244479983346,0.0006822612485848,1.7819205595515086e-06,1.8486780390958305e-05,False,0.91,0.025,0.065
1409,144.477319,-5.887359,245461.5842,2011-12-02,2/12/2013,7.0,0.000562040193472,0.0011805911781266,0.0002454973873682,0.0007511938456445,False,0.234,0.568,0.198
1410,104.265313,-2.41871,4201.505756,2012-02-21,3/4/2013,42.0,0.0005998452543281,0.0009186420938931,0.0001806094951462,0.0003269228327553,False,0.174,0.618,0.208
1411,22.624352,-17.814634,100905.1664,2012-03-01,3/17/2013,71.0,6.490627129096538e-05,0.0002912493946496,1.3681680684385356e-05,2.7299789508106187e-05,False,0.91,0.025,0.065
1412,-97.597746,48.564308,43180.94162,2012-04-27,4/29/2013,16.0,4.4736949348589405e-05,0.000170558138052,6.342761935229646e-06,4.90108232042985e-06,False,0.509,0.289,0.202
1413,43.655301,2.169639,243476.2598,2012-05-01,5/16/2013,74.0,0.0001053097221301,0.0003919639275409,1.391775299453002e-06,3.4520293411333114e-05,False,0.068,0.708,0.224
1414,-57.65355,-24.146038,131222.5205,2012-07-04,7/15/2013,89.0,9.102263902605046e-06,4.985374107491225e-05,3.7050540413474664e-06,9.536563084111547e-06,False,0.21,0.591,0.199
1415,70.637704,32.814392,549425.385,2012-08-01,8/7/2013,40.0,2.5294557417510077e-05,0.0001451785647077,1.1330527740938123e-05,9.628780389903112e-05,False,0.8,0.15,0.05
1416,128.424146,50.004265,102479.2664,2012-08-01,8/7/2013,51.0,6.903830944793299e-05,0.0003252220340073,1.18372481665574e-05,4.908477785647847e-05,False,0.153,0.701,0.146
1417,69.106502,28.740393,462763.0908,2012-08-07,8/21/2013,40.0,6.260759255383164e-05,0.000352382834535,1.7331036588075222e-06,2.7156247597304173e-05,False,0.8,0.15,0.05
1418,130.272429,50.532277,1430155.557,2012-08-07,10/14/2013,40.0,0.0001497472258051,0.0005701499176211,2.602259519335348e-05,9.890607907436788e-05,False,0.8,0.15,0.05
1419,105.083548,12.658027,52283.24687,2012-09-27,10/14/2013,1.0,0.0007137776119634,0.0015406719176098,0.0003120795008726,0.0009810933843255,False,0.886,0.07,0.044
1420,101.693689,13.081862,312091.0009,2012-09-30,10/14/2013,4.0,0.0004552548343781,0.0009251612937077,0.0001579711679369,0.0005792711745016,False,0.478,0.466,0.056
1421,28.824089,7.737242,172574.2604,2012-10-08,10/14/2013,87.0,0.0001592643093317,0.0006225651595741,7.296265721379314e-06,7.704517338424921e-05,False,0.231,0.407,0.362
1422,85.932081,24.717423,102661.1353,2012-10-12,11/10/2013,53.0,7.135704800020903e-05,0.0002811741142068,7.920630014268681e-05,6.196411413839087e-05,False,0.061,0.867,0.072
1423,-98.011079,30.660662,38936.38709,2012-10-31,11/10/2013,45.0,2.1813354678101863e-08,7.665158250347304e-07,2.3156428163861875e-11,1.661302206912296e-09,False,0.528,0.289,0.183
1424,-86.789903,37.559702,16069.91086,2012-12-22,1/4/2014,53.0,0.0001786559878382,0.0005481770494952,5.280429832055233e-06,1.6406993381679058e-05,False,0.061,0.867,0.072
1425,-64.013513,-13.388781,381576.6482,2013-01-10,5/1/2014,5.0,0.0003559412725735,0.0008574108942411,0.0001149389718193,0.0002402159880148,False,0.76,0.13,0.11
1426,150.116713,-26.241474,250162.1226,2013-03-24,3/30/2014,92.0,2.949167537735775e-05,0.0001895980531116,1.1931631888728589e-05,3.1411742384079844e-05,False,0.45,0.17,0.38
1427,38.968923,-7.193015,18498.39235,2013-04-18,5/1/2014,89.0,0.0001905269164126,0.0005914178909733,3.680200507005793e-06,3.866196857416071e-05,False,0.21,0.591,0.199
1428,38.944179,-7.664354,22249.34265,2013-05-10,5/16/2014,89.0,0.0001501133519923,0.0005320833297446,5.606660579360323e-06,6.0166999901412055e-05,False,0.21,0.591,0.199
1429,113.34169,23.265167,45994.29761,2013-05-30,6/10/2014,40.0,0.0002895289799198,0.000791521219071,0.0002326774701941,0.0003662713861558,False,0.8,0.15,0.05
1430,-53.547014,-24.354116,554605.2536,2013-06-03,7/14/2014,27.0,0.0003343816788401,0.0009563144994899,7.494221063097939e-05,0.0003098619345109,False,0.28,0.16,0.56
1431,124.729885,6.771897,15356.3096,2013-06-17,6/25/2014,83.0,0.000408315565437,0.0008495271904394,0.0001980145170819,0.0004403120256029,False,0.272,0.43,0.298
1432,99.738953,19.82582,15921.63198,2013-07-11,7/14/2014,4.0,0.0006519986782222,0.0006737624644301,0.0001697243424132,0.0002750821004156,False,0.478,0.466,0.056
1433,174.068419,-35.698936,8581.237248,2013-07-05,7/14/2014,,0.0005909426836296,0.0013254004297778,9.74778740783222e-05,0.0005107214092276,False,,,
1434,-59.559684,-2.929344,256564.5748,2013-05-22,7/29/2014,28.0,0.0004122030513826,0.000965031038504,0.0002480768307577,0.0004411409026943,False,0.15,0.1,0.75
1435,-58.025587,-32.346689,44866.45705,2013-07-03,7/29/2014,87.0,4.791264984760346e-08,7.476656378457847e-07,2.6528564376349095e-06,2.0755030618602177e-06,False,0.231,0.407,0.362
1436,79.758579,27.385201,107474.388,2013-08-11,9/8/2014,8.0,0.0003099798923358,0.0006719977245666,0.000121196382679,0.0002873905468732,False,0.102,0.447,0.451
1437,86.253746,26.179465,62650.80273,2013-08-14,9/8/2014,8.0,0.0003397570108063,0.0007089870050549,0.0001526898122392,0.0003142559726256,False,0.102,0.447,0.451
1438,6.40648,16.327289,350748.906,2013-08-13,8/19/2014,73.0,0.000143578305142,0.000575115380343,6.464144917117665e-07,6.428540473280009e-06,False,0.779,0.151,0.07
1439,94.654164,27.613202,44290.91197,2013-08-15,9/8/2014,4.0,0.0003437372215557,0.0005989033379592,0.00032107529114,0.0003271036839578,False,0.478,0.466,0.056
1440,90.633346,24.566128,35999.91113,2013-08-20,9/8/2014,31.0,0.0006057743448764,0.0008766705286689,0.0002955040254164,0.0003410410718061,False,0.003,0.246,0.751
1441,75.341864,33.944858,253686.9335,2013-09-01,10/11/2014,8.0,0.000149052546476,0.0004975376650691,6.55644471407868e-05,0.0003039625007659,False,0.102,0.447,0.451
1442,100.456514,16.403907,34449.25294,2013-09-01,9/8/2014,43.0,0.0003408348129596,0.0007591172470711,0.0001095243715099,0.0002543797309044,False,0.349,0.266,0.385
1443,32.906766,6.941732,143087.3061,2013-09-21,10/11/2014,86.0,0.0001567466097185,0.0005627207574434,2.4460163331241347e-05,0.0001415108417859,False,0.105,0.478,0.417
